,side,teamname,team kpm,dragons,barons,towers,dpm,vspm,earned gpm,wcpm,cspm,xpat15,goldat15,result
0,Blue,LNG Esports,0.0954,2.0,0.0,2.0,1329.8303,7.9533,931.877,1.877,32.54324401913876,29876.795454545456,25044.644736842107,0
1,Red,Rare Atom,0.509,3.0,2.0,9.0,1811.5164,8.8123,1308.2291,1.5589,32.54324401913876,29876.795454545456,25044.644736842107,1
2,Blue,LNG Esports,0.0942,0.0,0.0,2.0,1708.697,7.4097,900.5338,1.4757,32.54324401913876,29876.795454545456,25044.644736842107,0
3,Red,Rare Atom,0.5338,4.0,1.0,9.0,1974.8195,9.8587,1342.3234,1.7582,32.54324401913876,29876.795454545456,25044.644736842107,1
4,Blue,LNG Esports,0.9517,2.0,1.0,10.0,2747.719,7.3414,1640.8459,1.5861,32.54324401913876,29876.795454545456,25044.644736842107,1
5,Red,Rare Atom,0.136,1.0,0.0,0.0,1568.8822,6.1631,717.2356,0.7251,32.54324401913876,29876.795454545456,25044.644736842107,0
6,Blue,Rare Atom,0.502,2.0,1.0,10.0,2013.8976,8.8583,1330.0394,1.6831,32.54324401913876,29876.795454545456,25044.644736842107,1
7,Red,LNG Esports,0.2657,4.0,0.0,3.0,1569.9803,7.7657,996.2008,1.9783,32.54324401913876,29876.795454545456,25044.644736842107,0
8,Blue,JD Gaming,0.6021,4.0,0.0,7.0,3112.2251,10.0262,1231.8325,1.8063,32.54324401913876,29876.795454545456,25044.644736842107,1
9,Red,Top Esports,0.5236,2.0,1.0,4.0,3221.6754,10.1309,1132.0681,2.1466,32.54324401913876,29876.795454545456,25044.644736842107,0
10,Blue,Top Esports,0.5898,3.0,2.0,8.0,2602.5469,9.4102,1343.6461,2.1984,32.54324401913876,29876.795454545456,25044.644736842107,1
11,Red,JD Gaming,0.2145,2.0,1.0,4.0,1798.9812,8.6863,1161.4209,1.2064,32.54324401913876,29876.795454545456,25044.644736842107,0
12,Blue,JD Gaming,0.7514,2.0,0.0,7.0,3221.7161,9.0724,1307.9499,1.8367,32.54324401913876,29876.795454545456,25044.644736842107,1
13,Red,Top Esports,0.2505,3.0,1.0,4.0,2283.9518,9.1558,1069.1466,1.7532,32.54324401913876,29876.795454545456,25044.644736842107,0
14,Blue,Top Esports,0.6296,3.0,1.0,8.0,2689.8889,7.0741,1402.0,1.2593,32.54324401913876,29876.795454545456,25044.644736842107,1
15,Red,JD Gaming,0.1111,1.0,0.0,0.0,1919.1111,6.2593,877.8519,1.0,32.54324401913876,29876.795454545456,25044.644736842107,0
16,Blue,JD Gaming,0.5482,4.0,2.0,10.0,3035.407,9.4684,1302.7326,1.6445,32.54324401913876,29876.795454545456,25044.644736842107,1
17,Red,Top Esports,0.3488,0.0,1.0,8.0,2712.309,8.9701,1192.1262,1.4452,32.54324401913876,29876.795454545456,25044.644736842107,0
18,Blue,Ninjas in Pyjamas,0.2215,0.0,0.0,3.0,2208.3692,6.9785,982.1538,1.5508,32.54324401913876,29876.795454545456,25044.644736842107,0
